team,opponent,team_score,opponent_score,outcome
ORL,OKC,136,139,0.0
MIL,CLE,108,105,1.0
BOS,GSW,119,124,0.0
CHI,DET,144,147,0.0
DAL,SAC,117,116,1.0
CHO,UTA,124,119,1.0
NYK,PHI,119,113,1.0
SAC,CHO,128,129,0.0
ATL,MIL,109,117,0.0
WAS,MIN,129,132,0.0
UTA,PHO,103,69,1.0
DET,CHI,98,94,1.0
HOU,ORL,119,114,1.0
CHI,MIN,93,102,0.0
GSW,BRK,107,99,1.0
HOU,POR,108,103,1.0
ORL,MIN,104,101,1.0
CHO,SAC,127,122,1.0
NYK,HOU,111,116,0.0
POR,DAL,112,115,0.0
DET,PHO,127,122,1.0
NOP,CLE,114,108,1.0
UTA,IND,122,119,1.0
MIN,LAL,123,122,1.0
DEN,MIN,111,108,1.0
OKC,UTA,104,98,1.0
DET,LAC,103,105,0.0
CHO,TOR,109,99,1.0
BRK,DAL,118,119,0.0
MIA,NOP,94,88,1.0
MEM,MIA,99,90,1.0
CHI,IND,102,100,1.0
GSW,DEN,111,108,1.0
UTA,MEM,92,87,1.0
MIA,IND,103,100,1.0
HOU,IND,107,103,1.0
LAC,NOP,114,111,1.0
DAL,CLE,107,110,0.0
ORL,TOR,103,106,0.0
PHI,CHI,111,115,0.0
MIL,ATL,108,101,1.0
DAL,BOS,118,113,1.0
LAC,HOU,140,132,1.0
DAL,MIN,106,94,1.0
NYK,UTA,118,111,1.0
ORL,CHO,116,120,0.0
MEM,ORL,108,102,1.0
NYK,OKC,122,128,0.0
IND,DEN,109,105,1.0
IND,CLE,106,111,0.0
UTA,CHI,105,96,1.0
MEM,DAL,110,114,0.0
ATL,ORL,110,117,0.0
MEM,POR,106,112,0.0
PHI,LAC,92,98,0.0
DAL,UTA,119,121,0.0
BOS,LAC,139,134,1.0
ORL,DAL,110,104,1.0
MIA,IND,101,93,1.0
UTA,HOU,117,114,1.0
DAL,DEN,122,116,1.0
OKC,GSW,118,121,0.0
GSW,ATL,109,105,1.0
DEN,BRK,120,121,0.0
DEN,DAL,116,114,1.0
POR,WAS,116,109,1.0
MEM,NOP,121,114,1.0
TOR,MIA,112,104,1.0
IND,TOR,94,101,0.0
DAL,POR,132,120,1.0
LAL,MIA,102,100,1.0
UTA,GSW,96,103,0.0
ATL,CLE,108,110,0.0
GSW,MIN,117,124,0.0
UTA,LAC,99,102,0.0
PHI,MIL,108,109,0.0
SAS,OKC,102,98,1.0
CLE,DET,110,112,0.0
OKC,ORL,139,136,1.0
CLE,MIL,105,108,0.0
GSW,BOS,124,119,1.0
DET,CHI,147,144,1.0
SAC,DAL,116,117,0.0
UTA,CHO,119,124,0.0
PHI,NYK,113,119,0.0
CHO,SAC,129,128,1.0
MIL,ATL,117,109,1.0
MIN,WAS,132,129,1.0
CHI,DET,94,98,0.0
ORL,HOU,114,119,0.0
MIN,CHI,102,93,1.0
BRK,GSW,99,107,0.0
POR,HOU,103,108,0.0
MIN,ORL,101,104,0.0
SAC,CHO,122,127,0.0
HOU,NYK,116,111,1.0
DAL,POR,115,112,1.0
PHO,DET,122,127,0.0
CLE,NOP,108,114,0.0
IND,UTA,119,122,0.0
LAL,MIN,122,123,0.0
MIN,DEN,108,111,0.0
UTA,OKC,98,104,0.0
LAC,DET,105,103,1.0
TOR,CHO,99,109,0.0
DAL,BRK,119,118,1.0
NOP,MIA,88,94,0.0
MIA,MEM,90,99,0.0
IND,CHI,100,102,0.0
DEN,GSW,108,111,0.0
MEM,UTA,87,92,0.0
IND,MIA,100,103,0.0
IND,HOU,103,107,0.0
NOP,LAC,111,114,0.0
CLE,DAL,110,107,1.0
TOR,ORL,106,103,1.0
CHI,PHI,115,111,1.0
ATL,MIL,101,108,0.0
BOS,DAL,113,118,0.0
HOU,LAC,132,140,0.0
MIN,DAL,94,106,0.0
UTA,NYK,111,118,0.0
CHO,ORL,120,116,1.0
ORL,MEM,102,108,0.0
OKC,NYK,128,122,1.0
DEN,IND,105,109,0.0
CLE,IND,111,106,1.0
CHI,UTA,96,105,0.0
DAL,MEM,114,110,1.0
ORL,ATL,117,110,1.0
POR,MEM,112,106,1.0
LAC,PHI,98,92,1.0
UTA,DAL,121,119,1.0
LAC,BOS,134,139,0.0
DAL,ORL,104,110,0.0
IND,MIA,93,101,0.0
HOU,UTA,114,117,0.0
