team,opponent,team_score,opponent_score,outcome
Dodgers,D-backs,6,0,1.0
Phillies,Marlins,6,3,1.0
Angels,Mets,5,4,1.0
Mariners,Athletics,6,4,1.0
Brewers,Pirates,4,2,1.0
Rays,Reds,2,1,1.0
Blue Jays,Orioles,2,0,1.0
Braves,Nationals,7,6,1.0
Yankees,Red Sox,7,4,1.0
Cardinals,Cubs,10,4,1.0
Indians,White Sox,12,6,1.0
Rockies,Giants,1,0,1.0
Tigers,Padres,6,2,1.0
Astros,Rangers,6,5,1.0
Twins,Royals,7,1,1.0
Dodgers,D-backs,8,5,1.0
Phillies,Marlins,5,4,1.0
Mets,Angels,7,6,1.0
Athletics,Mariners,3,1,1.0
Brewers,Pirates,3,2,1.0
Rays,Reds,1,0,1.0
Orioles,Blue Jays,2,1,1.0
Braves,Nationals,6,3,1.0
Yankees,Red Sox,3,2,1.0
Cardinals,Cubs,6,4,1.0
White Sox,Indians,4,3,1.0
Giants,Rockies,5,4,1.0
Padres,Tigers,5,1,1.0
Rangers,Astros,1,0,1.0
Twins,Royals,4,3,1.0
Dodgers,D-backs,8,6,1.0
Phillies,Marlins,4,3,1.0
Angels,Mets,14,2,1.0
Athletics,Mariners,3,0,1.0
Brewers,Pirates,4,1,1.0
Reds,Rays,12,4,1.0
Blue Jays,Orioles,11,3,1.0
Braves,Nationals,10,2,1.0
Braves,Phillies,9,6,1.0
Padres,Rockies,5,4,1.0
Mets,D-backs,7,3,1.0
Athletics,Angels,3,2,1.0
Pirates,Reds,8,7,1.0
Mariners,Rangers,7,1,1.0
Cardinals,Brewers,4,0,1.0
Orioles,Rays,7,1,1.0
Nationals,Marlins,9,2,1.0
White Sox,Red Sox,2,1,1.0
Rockies,Padres,3,2,1.0
Royals,Astros,4,2,1.0
Giants,Dodgers,3,2,1.0
Mets,D-backs,9,0,1.0
Athletics,Angels,10,9,1.0
Reds,Pirates,7,5,1.0
Rangers,Mariners,5,0,1.0
Cardinals,Brewers,6,1,1.0
Blue Jays,Twins,9,3,1.0
Marlins,Nationals,11,2,1.0
Braves,Phillies,1,0,1.0
Red Sox,White Sox,6,4,1.0
Yankees,Cubs,3,0,1.0
Yankees,Cubs,2,0,1.0
Indians,Tigers,3,2,1.0
Padres,Rockies,4,2,1.0
Royals,Astros,6,4,1.0
Giants,Dodgers,2,1,1.0
Mets,D-backs,5,2,1.0
Angels,Athletics,5,4,1.0
Reds,Pirates,4,0,1.0
Rangers,Mariners,3,2,1.0
Brewers,Cardinals,5,1,1.0
Orioles,Rays,3,0,1.0
Nationals,Marlins,6,3,1.0
Phillies,Braves,1,0,1.0
Red Sox,White Sox,3,1,1.0
Tigers,Indians,7,5,1.0
Rockies,Padres,3,1,1.0
Royals,Astros,5,1,1.0
Dodgers,Giants,2,1,1.0
Pirates,Brewers,11,2,1.0
Yankees,Rays,10,2,1.0
Rangers,Mariners,8,6,1.0
Cardinals,Nationals,8,0,1.0
Twins,Blue Jays,7,0,1.0
Twins,Blue Jays,9,5,1.0
Angels,Tigers,11,6,1.0
D-backs,Dodgers,4,2,1.0
Braves,Mets,6,0,1.0
Orioles,Red Sox,8,4,1.0
Rangers,White Sox,12,0,1.0
Reds,Cubs,4,1,1.0
Athletics,Astros,11,3,1.0
Brewers,Pirates,5,3,1.0
Royals,Twins,5,0,1.0
Rays,Yankees,11,5,1.0
Rockies,Phillies,12,1,1.0
Marlins,Mariners,8,4,1.0
Padres,Giants,2,1,1.0
Nationals,Cardinals,3,1,1.0
Blue Jays,Indians,3,2,1.0
Tigers,Angels,5,2,1.0
Dodgers,D-backs,8,6,1.0
Braves,Mets,7,5,1.0
Red Sox,Orioles,4,2,1.0
Rangers,White Sox,6,3,1.0
Cubs,Reds,8,4,1.0
Athletics,Astros,4,3,1.0
Brewers,Pirates,8,7,1.0
Royals,Twins,5,4,1.0
Rays,Yankees,16,1,1.0
Rockies,Phillies,3,1,1.0
Marlins,Mariners,7,0,1.0
Padres,Giants,3,1,1.0
Cardinals,Nationals,4,3,1.0
Blue Jays,Indians,5,0,1.0
Tigers,Angels,2,1,1.0
Dodgers,D-backs,4,1,1.0
Mets,Braves,4,3,1.0
Red Sox,Orioles,6,5,1.0
White Sox,Rangers,16,2,1.0
Reds,Cubs,8,2,1.0
Athletics,Astros,4,1,1.0
Brewers,Pirates,3,2,1.0
Twins,Royals,8,3,1.0
Yankees,Rays,5,1,1.0
Phillies,Rockies,10,9,1.0
Marlins,Mariners,3,2,1.0
Giants,Padres,4,3,1.0
Nationals,Cardinals,3,2,1.0
Indians,Blue Jays,6,4,1.0
Angels,Nationals,4,2,1.0
Cubs,D-backs,5,1,1.0
Orioles,Red Sox,7,6,1.0
White Sox,Tigers,3,1,1.0
Pirates,Reds,6,5,1.0
Astros,Mariners,7,2,1.0
Indians,Royals,4,3,1.0
Braves,Marlins,4,2,1.0
Phillies,Dodgers,7,0,1.0
Brewers,Padres,4,3,1.0
Rockies,Giants,8,2,1.0
Mets,Cardinals,2,0,1.0
Rangers,Athletics,4,3,1.0
Angels,Nationals,7,2,1.0
Cubs,D-backs,9,2,1.0
Blue Jays,Orioles,9,3,1.0
Tigers,White Sox,8,6,1.0
Reds,Pirates,4,1,1.0
Astros,Mariners,5,2,1.0
Royals,Indians,8,2,1.0
Marlins,Braves,1,0,1.0
Rays,Twins,7,3,1.0
Yankees,Red Sox,9,3,1.0
Phillies,Dodgers,3,2,1.0
Padres,Brewers,2,1,1.0
Rockies,Giants,2,1,1.0
Cardinals,Mets,3,0,1.0
Rangers,Athletics,5,4,1.0
Nationals,Angels,5,4,1.0
D-backs,Cubs,7,5,1.0
Orioles,Blue Jays,10,8,1.0
White Sox,Tigers,6,4,1.0
Reds,Pirates,5,2,1.0
Mariners,Astros,5,3,1.0
Indians,Royals,5,3,1.0
Braves,Marlins,3,1,1.0
Twins,Rays,6,4,1.0
Red Sox,Yankees,5,1,1.0
Dodgers,Phillies,5,2,1.0
Brewers,Padres,5,2,1.0
Giants,Rockies,12,10,1.0
Mets,Cardinals,3,2,1.0
Rangers,Athletics,3,0,1.0
D-backs,Cubs,5,2,1.0
Orioles,Blue Jays,11,4,1.0
Tigers,White Sox,7,4,1.0
Reds,Pirates,2,1,1.0
Indians,Royals,5,1,1.0
Twins,Rays,9,7,1.0
Yankees,Red Sox,14,5,1.0
Athletics,Astros,10,1,1.0
Phillies,Dodgers,7,3,1.0
Padres,Nationals,4,3,1.0
Mets,Cardinals,4,1,1.0
Angels,Yankees,13,1,1.0
Red Sox,Blue Jays,8,1,1.0
Brewers,Cubs,5,2,1.0
Braves,Reds,5,4,1.0
Giants,Indians,5,1,1.0
Rockies,Dodgers,5,4,1.0
Tigers,Twins,10,6,1.0
Royals,Orioles,5,0,1.0
Mets,Marlins,4,3,1.0
Athletics,Astros,12,5,1.0
D-backs,Phillies,5,4,1.0
Cardinals,Pirates,1,0,1.0
Nationals,Padres,11,1,1.0
White Sox,Rays,9,6,1.0
Mariners,Rangers,6,5,1.0
Yankees,Angels,4,3,1.0
Red Sox,Blue Jays,7,6,1.0
Brewers,Cubs,5,3,1.0
Braves,Reds,4,1,1.0
Giants,Indians,5,3,1.0
Dodgers,Rockies,6,3,1.0
Twins,Tigers,5,3,1.0
Orioles,Royals,3,2,1.0
Marlins,Mets,7,6,1.0
Astros,Athletics,7,6,1.0
Phillies,D-backs,6,5,1.0
Pirates,Cardinals,6,1,1.0
Nationals,Padres,4,0,1.0
Rays,White Sox,4,0,1.0
Rangers,Mariners,6,3,1.0
Yankees,Angels,3,2,1.0
Blue Jays,Red Sox,7,1,1.0
Cubs,Brewers,4,0,1.0
Braves,Reds,1,0,1.0
Giants,Indians,4,1,1.0
Rockies,Dodgers,6,1,1.0
Royals,Orioles,9,3,1.0
Mets,Marlins,4,0,1.0
Astros,Athletics,5,1,1.0
Phillies,D-backs,2,0,1.0
Cardinals,Pirates,7,0,1.0
Padres,Nationals,4,2,1.0
White Sox,Rays,9,2,1.0
Mariners,Rangers,6,5,1.0
Angels,Indians,6,3,1.0
Rockies,D-backs,8,5,1.0
Brewers,Cardinals,5,3,1.0
Athletics,Rangers,4,0,1.0
Padres,Giants,6,4,1.0
White Sox,Rays,7,3,1.0
Marlins,Braves,9,0,1.0
Reds,Cubs,3,2,1.0
Angels,Indians,6,4,1.0
Rockies,D-backs,5,4,1.0
Tigers,White Sox,4,3,1.0
Brewers,Cardinals,5,4,1.0
Mets,Phillies,6,1,1.0
Athletics,Rangers,9,3,1.0
Giants,Padres,6,0,1.0
Mariners,Yankees,6,3,1.0
Red Sox,Rays,7,4,1.0
Royals,Blue Jays,10,7,1.0
Nationals,Astros,4,3,1.0
Marlins,Braves,9,3,1.0
Cubs,Reds,9,4,1.0
Angels,Indians,7,1,1.0
D-backs,Rockies,5,4,1.0
Tigers,White Sox,5,1,1.0
Dodgers,Twins,6,4,1.0
Cardinals,Brewers,9,3,1.0
Athletics,Rangers,12,1,1.0
Giants,Padres,3,2,1.0
Royals,Blue Jays,4,2,1.0
Nationals,Astros,7,0,1.0
Marlins,Braves,5,4,1.0
Dodgers,Twins,9,4,1.0
Dodgers,Twins,4,3,1.0
Reds,Brewers,8,3,1.0
Rockies,Mets,7,4,1.0
Orioles,Pirates,5,1,1.0
Orioles,Pirates,6,5,1.0
Mariners,Yankees,4,2,1.0
Rays,Red Sox,2,1,1.0
Rays,Red Sox,6,5,1.0
Blue Jays,Royals,7,3,1.0
D-backs,Padres,2,0,1.0
Orioles,Twins,3,0,1.0
Indians,White Sox,12,5,1.0
Tigers,Royals,8,2,1.0
Marlins,Dodgers,6,3,1.0
Brewers,Reds,2,0,1.0
Rockies,Mets,10,3,1.0
Red Sox,Athletics,7,1,1.0
Astros,Mariners,5,4,1.0
Giants,Braves,2,1,1.0
Cubs,Cardinals,6,5,1.0
Rays,Yankees,10,5,1.0
Rangers,Angels,5,2,1.0
Pirates,Blue Jays,6,5,1.0
Nationals,Phillies,5,3,1.0
D-backs,Padres,4,3,1.0
Twins,Orioles,6,1,1.0
Indians,White Sox,2,0,1.0
Tigers,Royals,9,2,1.0
Dodgers,Marlins,9,7,1.0
Reds,Brewers,6,2,1.0
Rockies,Mets,11,10,1.0
Red Sox,Athletics,6,3,1.0
Mariners,Astros,9,8,1.0
Giants,Braves,3,1,1.0
Cubs,Cardinals,3,0,1.0
Yankees,Rays,9,3,1.0
Angels,Rangers,5,3,1.0
Pirates,Blue Jays,8,6,1.0
Phillies,Nationals,7,2,1.0
Padres,D-backs,4,3,1.0
Twins,Orioles,5,2,1.0
White Sox,Indians,4,3,1.0
Tigers,Royals,9,4,1.0
Marlins,Dodgers,5,4,1.0
Reds,Brewers,4,3,1.0
Mets,Rockies,5,1,1.0
Athletics,Red Sox,3,2,1.0
Mariners,Astros,8,7,1.0
Giants,Braves,4,1,1.0
Cardinals,Cubs,5,4,1.0
Rays,Yankees,5,1,1.0
Rangers,Angels,14,3,1.0
Blue Jays,Pirates,7,2,1.0
Phillies,Nationals,1,0,1.0
Brewers,D-backs,8,3,1.0
White Sox,Cubs,3,1,1.0
Tigers,Astros,2,0,1.0
Padres,Royals,6,5,1.0
Nationals,Dodgers,4,0,1.0
Twins,Indians,1,0,1.0
Angels,Yankees,4,1,1.0
Marlins,Mets,4,3,1.0
Mariners,Athletics,4,2,1.0
Giants,Pirates,11,10,1.0
Cardinals,Braves,4,3,1.0
Rockies,Rangers,8,2,1.0
Blue Jays,Phillies,3,0,1.0
D-backs,Brewers,7,5,1.0
Orioles,Rays,5,3,1.0
White Sox,Cubs,5,1,1.0
Red Sox,Reds,4,3,1.0
Tigers,Astros,11,4,1.0
Royals,Padres,3,1,1.0
Dodgers,Nationals,8,3,1.0
Indians,Twins,4,2,1.0
Yankees,Angels,4,3,1.0
Marlins,Mets,3,0,1.0
Mariners,Athletics,8,3,1.0
Pirates,Giants,2,1,1.0
Braves,Cardinals,2,1,1.0
Rockies,Rangers,12,1,1.0
Blue Jays,Phillies,6,5,1.0
D-backs,Brewers,3,2,1.0
Orioles,Rays,4,3,1.0
White Sox,Cubs,8,3,1.0
Red Sox,Reds,4,3,1.0
Rockies,Rangers,9,2,1.0
Tigers,Astros,3,2,1.0
Royals,Padres,8,0,1.0
Nationals,Dodgers,3,2,1.0
Indians,Twins,4,3,1.0
Yankees,Angels,9,2,1.0
Marlins,Mets,1,0,1.0
Blue Jays,Phillies,10,0,1.0
Mariners,Athletics,6,4,1.0
Athletics,Mariners,2,0,1.0
Pirates,Giants,4,3,1.0
Cardinals,Braves,7,1,1.0
Orioles,Rays,3,1,1.0
Cubs,White Sox,12,5,1.0
Rangers,Rockies,5,0,1.0
Astros,Tigers,6,2,1.0
Mariners,Royals,1,0,1.0
Marlins,Padres,3,1,1.0
Indians,Twins,9,4,1.0
Blue Jays,Phillies,12,6,1.0
Giants,Dodgers,3,1,1.0
Angels,Blue Jays,4,3,1.0
White Sox,D-backs,9,3,1.0
Rangers,Red Sox,8,0,1.0
Braves,Cubs,3,2,1.0
Indians,Rays,6,3,1.0
Reds,Rockies,4,3,1.0
Orioles,Astros,4,3,1.0
Royals,Mariners,6,1,1.0
Padres,Marlins,10,1,1.0
Twins,Tigers,2,1,1.0
Yankees,Brewers,5,3,1.0
Phillies,Mets,3,2,1.0
Giants,Dodgers,3,1,1.0
Pirates,Cardinals,6,4,1.0
Athletics,Nationals,8,0,1.0
Angels,Blue Jays,5,3,1.0
D-backs,White Sox,4,3,1.0
Red Sox,Rangers,8,3,1.0
Braves,Cubs,2,0,1.0
Rays,Indians,7,1,1.0
Rockies,Reds,11,2,1.0
Orioles,Astros,5,4,1.0
Mariners,Royals,3,1,1.0
Padres,Marlins,9,3,1.0
Tigers,Twins,9,3,1.0
Brewers,Yankees,5,4,1.0
Phillies,Mets,5,4,1.0
Dodgers,Giants,6,2,1.0
Pirates,Cardinals,4,3,1.0
Athletics,Nationals,4,3,1.0
Angels,Blue Jays,9,3,1.0
D-backs,White Sox,5,1,1.0
Red Sox,Rangers,5,2,1.0
Braves,Cubs,5,2,1.0
Indians,Rays,6,5,1.0
Reds,Rockies,4,1,1.0
Astros,Orioles,5,2,1.0
Royals,Mariners,9,7,1.0
Padres,Marlins,5,4,1.0
Twins,Tigers,4,3,1.0
Brewers,Yankees,6,5,1.0
Mets,Phillies,5,4,1.0
Giants,Dodgers,7,4,1.0
Cardinals,Pirates,6,5,1.0
Athletics,Nationals,9,1,1.0
Blue Jays,Angels,7,3,1.0
Giants,Braves,4,2,1.0
Athletics,White Sox,5,4,1.0
Cubs,Cardinals,17,5,1.0
Tigers,Orioles,4,1,1.0
Dodgers,Marlins,6,5,1.0
Mets,Yankees,9,7,1.0
Mariners,Rays,12,5,1.0
Rangers,Astros,4,0,1.0
Nationals,D-backs,6,5,1.0
Angels,Phillies,4,3,1.0
Braves,Giants,5,0,1.0
Twins,Red Sox,8,6,1.0
Athletics,White Sox,11,0,1.0
Cardinals,Cubs,4,3,1.0
Blue Jays,Indians,5,4,1.0
Royals,Rockies,5,1,1.0
Tigers,Orioles,4,1,1.0
Dodgers,Marlins,7,1,1.0
Mets,Yankees,12,7,1.0
Brewers,Pirates,5,2,1.0
Padres,Reds,2,1,1.0
Rays,Mariners,2,1,1.0
Astros,Rangers,8,0,1.0
D-backs,Nationals,3,1,1.0
Angels,Phillies,3,0,1.0
Giants,Braves,10,4,1.0
Red Sox,Twins,9,4,1.0
White Sox,Athletics,4,2,1.0
Indians,Blue Jays,15,4,1.0
Royals,Rockies,3,2,1.0
Tigers,Orioles,7,5,1.0
Marlins,Dodgers,13,3,1.0
Yankees,Mets,4,0,1.0
Pirates,Brewers,4,1,1.0
Rays,Mariners,2,0,1.0
Astros,Rangers,5,4,1.0
Nationals,D-backs,5,1,1.0
Orioles,Royals,2,1,1.0
Twins,Red Sox,4,3,1.0
Cardinals,Cubs,5,3,1.0
Blue Jays,Indians,4,2,1.0
Giants,Marlins,6,4,1.0
Yankees,Mets,1,0,1.0
Brewers,Pirates,4,3,1.0
Reds,Padres,5,0,1.0
Padres,Reds,6,1,1.0
Angels,Rays,6,5,1.0
Cardinals,Braves,5,2,1.0
Orioles,Royals,4,0,1.0
White Sox,Astros,7,2,1.0
Reds,Phillies,3,0,1.0
Tigers,Red Sox,1,0,1.0
Dodgers,D-backs,7,0,1.0
Marlins,Giants,7,5,1.0
Brewers,Cubs,4,3,1.0
Nationals,Mets,5,2,1.0
Athletics,Indians,11,1,1.0
Rockies,Padres,3,1,1.0
Twins,Mariners,5,4,1.0
Rays,Angels,3,0,1.0
Blue Jays,Rangers,2,0,1.0
Cardinals,Braves,4,1,1.0
Royals,Orioles,1,0,1.0
Astros,White Sox,6,5,1.0
Phillies,Reds,12,1,1.0
Tigers,Red Sox,6,1,1.0
D-backs,Dodgers,18,7,1.0
Marlins,Giants,5,0,1.0
Cubs,Brewers,3,0,1.0
Mets,Nationals,5,2,1.0
Athletics,Indians,6,2,1.0
Yankees,Pirates,7,1,1.0
Padres,Rockies,8,5,1.0
Twins,Mariners,4,3,1.0
Angels,Rays,6,0,1.0
Blue Jays,Rangers,4,2,1.0
Braves,Cardinals,6,5,1.0
Royals,Orioles,8,6,1.0
Astros,White Sox,8,2,1.0
Phillies,Reds,8,3,1.0
Tigers,Red Sox,6,2,1.0
D-backs,Dodgers,5,3,1.0
Giants,Marlins,4,1,1.0
Cubs,Brewers,4,2,1.0
Nationals,Mets,6,3,1.0
Athletics,Indians,13,3,1.0
Yankees,Pirates,4,3,1.0
Pirates,Yankees,5,3,1.0
Rockies,Padres,8,6,1.0
Mariners,Twins,6,2,1.0
Angels,Rays,6,2,1.0
Rangers,Blue Jays,6,2,1.0
White Sox,Royals,7,6,1.0
Reds,Nationals,4,3,1.0
Indians,Tigers,5,4,1.0
Astros,Angels,5,2,1.0
Braves,Brewers,9,3,1.0
Cardinals,D-backs,5,0,1.0
Orioles,Pirates,9,2,1.0
White Sox,Royals,7,6,1.0
Nationals,Reds,9,4,1.0
Indians,Tigers,6,2,1.0
Angels,Astros,9,3,1.0
Dodgers,Mets,9,4,1.0
Braves,Brewers,5,0,1.0
Twins,Padres,5,3,1.0
Cubs,Yankees,6,1,1.0
Athletics,Rays,3,0,1.0
Phillies,Marlins,6,5,1.0
Mariners,Rangers,6,2,1.0
Rockies,Giants,5,4,1.0
Blue Jays,Red Sox,7,4,1.0
Cardinals,D-backs,3,2,1.0
Pirates,Orioles,9,8,1.0
Royals,White Sox,3,1,1.0
Reds,Nationals,2,1,1.0
Indians,Tigers,11,10,1.0
Angels,Astros,2,1,1.0
Dodgers,Mets,4,3,1.0
Brewers,Braves,6,1,1.0
Twins,Padres,2,0,1.0
Yankees,Cubs,4,2,1.0
Athletics,Rays,3,2,1.0
Marlins,Phillies,14,5,1.0
Rangers,Mariners,4,3,1.0
Giants,Rockies,5,1,1.0
Blue Jays,Red Sox,6,4,1.0
Cardinals,D-backs,4,2,1.0
Cubs,Padres,5,1,1.0
Indians,Orioles,8,7,1.0
Mariners,Astros,3,1,1.0
Mets,Dodgers,5,3,1.0
Braves,Brewers,5,4,1.0
White Sox,Yankees,3,2,1.0
Rays,Athletics,5,2,1.0
Marlins,Phillies,4,3,1.0
Giants,Rockies,4,2,1.0
Rangers,Tigers,9,2,1.0
Blue Jays,Red Sox,7,2,1.0
Pirates,Nationals,3,1,1.0
Rays,Red Sox,1,0,1.0
Padres,Cubs,11,1,1.0
Orioles,Indians,8,4,1.0
Braves,Rockies,3,2,1.0
Mariners,Astros,6,1,1.0
Angels,Royals,6,1,1.0
Dodgers,Phillies,2,0,1.0
Brewers,Marlins,9,5,1.0
Giants,Twins,6,2,1.0
White Sox,Yankees,6,5,1.0
Blue Jays,Athletics,3,2,1.0
Reds,Cardinals,5,3,1.0
Tigers,Rangers,7,2,1.0
Pirates,Nationals,4,3,1.0
D-backs,Mets,3,2,1.0
Rays,Red Sox,6,5,1.0
Cubs,Padres,3,2,1.0
Indians,Orioles,9,0,1.0
Rockies,Braves,3,1,1.0
Astros,Mariners,9,4,1.0
Royals,Angels,7,4,1.0
Phillies,Dodgers,5,3,1.0
Marlins,Brewers,2,1,1.0
Giants,Twins,2,1,1.0
Yankees,White Sox,4,3,1.0
Blue Jays,Athletics,5,2,1.0
Cardinals,Reds,6,3,1.0
Rangers,Tigers,12,2,1.0
Pirates,Nationals,3,2,1.0
D-backs,Mets,2,1,1.0
Mets,D-backs,4,2,1.0
Rays,Red Sox,8,5,1.0
Padres,Cubs,4,3,1.0
Orioles,Indians,4,2,1.0
Braves,Rockies,7,0,1.0
Astros,Mariners,4,1,1.0
Angels,Royals,4,3,1.0
Dodgers,Phillies,6,0,1.0
Brewers,Marlins,7,1,1.0
Giants,Twins,8,1,1.0
Yankees,White Sox,7,1,1.0
Blue Jays,Athletics,3,1,1.0
Cardinals,Reds,4,0,1.0
Rangers,Tigers,12,4,1.0
Nationals,Pirates,5,2,1.0
Mariners,Angels,5,1,1.0
Orioles,Brewers,7,6,1.0
Red Sox,Braves,8,6,1.0
Cubs,Giants,8,4,1.0
Dodgers,Reds,4,3,1.0
White Sox,Indians,6,2,1.0
Phillies,Rockies,9,0,1.0
Athletics,Tigers,10,0,1.0
Astros,Royals,9,2,1.0
Marlins,Nationals,3,2,1.0
Yankees,Cardinals,6,4,1.0
Pirates,Mets,5,3,1.0
D-backs,Padres,7,5,1.0
Blue Jays,Rays,10,5,1.0
Rangers,Twins,7,2,1.0
Angels,Mariners,6,4,1.0
Brewers,Orioles,7,6,1.0
Red Sox,Braves,6,3,1.0
Giants,Cubs,4,0,1.0
Dodgers,Reds,6,3,1.0
White Sox,Indians,2,1,1.0
Rockies,Phillies,6,2,1.0
Tigers,Athletics,6,5,1.0
Astros,Royals,3,0,1.0
Cardinals,Yankees,6,0,1.0
Mets,Pirates,4,2,1.0
Padres,D-backs,4,3,1.0
Blue Jays,Rays,9,6,1.0
Twins,Rangers,4,3,1.0
Mariners,Angels,3,1,1.0
Red Sox,Braves,4,0,1.0
Brewers,Orioles,8,3,1.0
Giants,Cubs,5,0,1.0
Reds,Dodgers,3,2,1.0
White Sox,Indians,3,2,1.0
Phillies,Rockies,6,3,1.0
Athletics,Tigers,3,1,1.0
Astros,Royals,9,3,1.0
Marlins,Nationals,8,5,1.0
Yankees,Cardinals,7,4,1.0
Mets,Pirates,5,0,1.0
D-backs,Padres,12,6,1.0
Blue Jays,Rays,3,2,1.0
Rangers,Twins,1,0,1.0
Angels,Mariners,7,5,1.0
Red Sox,Braves,4,3,1.0
Astros,Orioles,3,1,1.0
D-backs,Reds,4,0,1.0
