team,opponent,team_score,opponent_score,outcome
Dodgers,D-backs,3,1,1.0
Dodgers,D-backs,7,5,1.0
Padres,Dodgers,3,1,1.0
Brewers,Braves,2,0,1.0
Orioles,Red Sox,2,1,1.0
Pirates,Cubs,1,0,1.0
Indians,Athletics,2,0,1.0
Marlins,Rockies,10,1,1.0
Tigers,Royals,4,3,1.0
White Sox,Twins,5,3,1.0
Phillies,Rangers,14,10,1.0
Mariners,Angels,10,3,1.0
Giants,D-backs,9,8,1.0
Cardinals,Reds,1,0,1.0
Rays,Blue Jays,9,2,1.0
Nationals,Mets,9,7,1.0
Braves,Brewers,5,2,1.0
Marlins,Rockies,4,3,1.0
Dodgers,Padres,3,2,1.0
Astros,Yankees,6,2,1.0
Rangers,Phillies,3,2,1.0
Mariners,Angels,8,3,1.0
D-backs,Giants,5,4,1.0
Blue Jays,Rays,4,2,1.0
Braves,Brewers,1,0,1.0
Red Sox,Orioles,6,2,1.0
Pirates,Cubs,4,3,1.0
Athletics,Indians,6,1,1.0
Indians,Athletics,6,4,1.0
Rockies,Marlins,6,5,1.0
Tigers,Royals,2,1,1.0
Dodgers,Padres,5,1,1.0
White Sox,Twins,7,6,1.0
Astros,Yankees,3,1,1.0
Rangers,Phillies,4,3,1.0
Mariners,Angels,8,2,1.0
Giants,D-backs,2,0,1.0
Reds,Cardinals,1,0,1.0
Blue Jays,Rays,3,0,1.0
Nationals,Mets,5,1,1.0
Red Sox,Orioles,4,3,1.0
Cubs,Pirates,3,2,1.0
Marlins,Rockies,8,5,1.0
Twins,White Sox,10,9,1.0
Yankees,Astros,4,2,1.0
Athletics,Mariners,3,2,1.0
Giants,D-backs,8,5,1.0
Cardinals,Reds,7,6,1.0
Rays,Blue Jays,7,2,1.0
Nationals,Mets,8,2,1.0
Angels,Astros,11,1,1.0
Rockies,D-backs,12,2,1.0
Braves,Nationals,2,1,1.0
Tigers,Orioles,10,4,1.0
Royals,White Sox,7,5,1.0
Mets,Reds,4,3,1.0
Brewers,Red Sox,6,2,1.0
Indians,Twins,7,2,1.0
Yankees,Blue Jays,7,3,1.0
Phillies,Cubs,7,2,1.0
Marlins,Padres,8,2,1.0
Giants,Dodgers,8,4,1.0
Pirates,Cardinals,12,2,1.0
Rays,Rangers,8,1,1.0
Angels,Astros,5,1,1.0
Rockies,D-backs,9,4,1.0
Braves,Nationals,6,2,1.0
Tigers,Orioles,7,6,1.0
Royals,White Sox,4,3,1.0
Mets,Reds,6,3,1.0
Brewers,Red Sox,7,6,1.0
Twins,Indians,7,3,1.0
Blue Jays,Yankees,4,0,1.0
Phillies,Cubs,2,0,1.0
Marlins,Padres,5,0,1.0
Mariners,Athletics,3,1,1.0
Giants,Dodgers,7,2,1.0
Cardinals,Pirates,6,1,1.0
Rays,Rangers,5,4,1.0
Astros,Angels,7,4,1.0
D-backs,Rockies,5,3,1.0
Nationals,Braves,2,1,1.0
Orioles,Tigers,3,1,1.0
White Sox,Royals,5,1,1.0
Reds,Mets,2,1,1.0
Brewers,Red Sox,4,0,1.0
Twins,Indians,10,7,1.0
Yankees,Blue Jays,6,4,1.0
Cubs,Phillies,8,3,1.0
Padres,Marlins,4,2,1.0
Athletics,Mariners,6,3,1.0
Dodgers,Giants,6,2,1.0
Pirates,Cardinals,2,1,1.0
Rangers,Rays,3,0,1.0
Angels,Astros,9,1,1.0
Yankees,Orioles,4,2,1.0
Rockies,White Sox,8,1,1.0
Cardinals,Reds,5,3,1.0
Athletics,Twins,8,3,1.0
Royals,Rays,4,2,1.0
Red Sox,Rangers,5,1,1.0
Mariners,Angels,5,3,1.0
Giants,D-backs,7,3,1.0
Orioles,Yankees,14,5,1.0
White Sox,Rockies,15,3,1.0
Cardinals,Reds,7,5,1.0
Dodgers,Tigers,3,2,1.0
Blue Jays,Astros,5,2,1.0
Nationals,Marlins,5,0,1.0
Brewers,Phillies,10,4,1.0
Mets,Braves,4,0,1.0
Pirates,Cubs,7,6,1.0
Indians,Padres,8,6,1.0
Rays,Royals,1,0,1.0
Rangers,Red Sox,10,7,1.0
Angels,Mariners,2,0,1.0
D-backs,Giants,7,3,1.0
Orioles,Yankees,5,4,1.0
Rockies,White Sox,10,4,1.0
Reds,Cardinals,4,0,1.0
Tigers,Dodgers,7,6,1.0
Blue Jays,Astros,7,3,1.0
Nationals,Marlins,10,7,1.0
Brewers,Phillies,9,4,1.0
Braves,Mets,4,3,1.0
Athletics,Twins,7,4,1.0
Cubs,Pirates,7,5,1.0
Indians,Padres,2,0,1.0
Padres,Indians,2,1,1.0
Royals,Rays,7,3,1.0
Red Sox,Rangers,4,2,1.0
D-backs,Giants,6,5,1.0
Yankees,Red Sox,4,1,1.0
White Sox,Indians,7,3,1.0
Astros,Blue Jays,6,4,1.0
Nationals,Marlins,7,1,1.0
Brewers,Phillies,6,2,1.0
Mets,Braves,6,4,1.0
Athletics,Twins,6,1,1.0
Pirates,Cubs,5,4,1.0
Red Sox,Yankees,4,2,1.0
Cubs,Cardinals,6,3,1.0
White Sox,Indians,9,6,1.0
Giants,Rockies,6,5,1.0
Padres,Tigers,6,0,1.0
Rangers,Astros,1,0,1.0
Twins,Royals,10,1,1.0
